"","ds","dep_var","trend","season","holiday","Google_Impressions","Facebook_Impressions","Affiliate_Impressions","Organic_Views","Email_Impressions","intercept","depVarHat","solID","cluster","top_sol"
"3187",2018-06-09,72316,9287.47129416652,-774.27425719178,0,1626.75286645322,41.3369563726542,0,0,1603.33881074405,76920.6423652979,88705.2680358426,"1_133_12",3,FALSE
"3188",2018-06-16,66903,9304.75248296645,-810.129595225575,0,1519.20493441474,6.22631368213577,0,0,1379.89693668006,76920.6423652979,88320.5934378158,"1_133_12",3,FALSE
"3189",2018-06-23,68825,9322.03367176638,-1070.90021021285,0,1573.21228590517,1.96288984898047,0,0,1723.45438344891,76920.6423652979,88470.4053860545,"1_133_12",3,FALSE
"3190",2018-06-30,90421,9339.31486056632,-1169.643711017,0,1749.91629332177,3.60601829425187,0,0,1608.69524382575,76920.6423652979,88452.531070289,"1_133_12",3,FALSE
"3191",2018-07-07,47768,9356.59605732366,-890.794098221739,0,2147.71915671135,2.73598832561846,0,0,1287.00634898559,76920.6423652979,88823.9058184224,"1_133_12",3,FALSE
"3192",2018-07-14,110359,9373.87725408101,-486.452566918091,0,2452.26402877275,181.602116912528,0,0,2173.84445933994,76920.6423652979,90615.7776574861,"1_133_12",3,FALSE
"3193",2018-07-21,111259,9391.15845083835,-422.222548814745,0,2207.57228368857,86.6861313920329,0,0,1521.02539915543,76920.6423652979,89704.8620815576,"1_133_12",3,FALSE
"3194",2018-07-28,69277,9408.4396453876,-834.703393053097,0,2120.75241031307,33.3308713295533,0,0,1558.25166468493,76920.6423652979,89206.71356396,"1_133_12",3,FALSE
"3195",2018-08-04,73348,9425.72083993684,-1320.38710385476,0,2004.33508585501,48.4051112708882,0,0,1055.74169228883,76920.6423652979,88134.4579907947,"1_133_12",3,FALSE
"3196",2018-08-11,59450,9443.00203448608,-1327.09394381056,0,2030.57916618493,59.7308768385527,0,0,1441.15304852725,76920.6423652979,88568.0135475242,"1_133_12",3,FALSE
"3197",2018-08-18,85245,9460.28322903532,-744.457762114548,0,2559.09450434319,170.214643939841,0,0,1858.50394871634,76920.6423652979,90224.2809292181,"1_133_12",3,FALSE
"3198",2018-08-25,96340,9477.56442871611,-49.4920896636346,0,2689.59217510332,1142.58519711685,0,0,1937.0859168612,76920.6423652979,92117.9779934318,"1_133_12",3,FALSE
"3199",2018-09-01,87248,9494.8456283969,166.927105744091,0,2855.39185259584,622.790269182346,0,0,1367.83352398884,76920.6423652979,91428.430745206,"1_133_12",3,FALSE
"3200",2018-09-08,72504,9512.12682807769,-197.983040782016,0,2782.39657430233,1033.47113402028,0,0,1413.29400449524,76920.6423652979,91463.9478654115,"1_133_12",3,FALSE
"3201",2018-09-15,102759,9529.40802775849,-656.325443405513,0,2984.82464293664,386.57041885291,0,0,1358.91409231552,76920.6423652979,90524.034103756,"1_133_12",3,FALSE
"3202",2018-09-22,94933,9546.68922114049,-627.890183219105,0,2946.36354171537,613.34721270059,0,0,1285.72397072469,76920.6423652979,90684.87612836,"1_133_12",3,FALSE
